Job Title,Company Name,Job Description,Study Level,Experience Level,Contract Type,Region,Skills,Posting Date,Job Link
Business Developer Anglophone​ - Ariana,SMART CONSEIL,,"Bac, Bac+1, Bac+2, Bac+3, Bac+4 & Bac+5 et plus","Etudiant, jeune diplômé et plus","CDI, CDD & Stage",Ariana & International,Gestion d'Équipe - Prospection - Vente,30.11.2024,https://www.emploitunisie.com/offre-emploi-tunisie/business-developer-anglophone-ariana-207891
Community Manager - Monastir,TAHRI COMPAGNE,,Bac+3,Débutant < 2 ans et plus,CDI,Monastir,Analyse Marketing - Communication - Communication Digitale - Community Management - Digital Community - Digital Marketing - Management Digital - Marketing - PHOTOSHOP - Stratégie de Communication - Télémarketing,30.11.2024,https://www.emploitunisie.com/offre-emploi-tunisie/community-manager-monastir-221714
Docteur en Data Science ou en Informatique - Ariana,SMART CONSEIL,,Bac+5 et plus,Expérience entre 2 ans et 5 ans et plus,CDI - CDD,Ariana - Béja - Ben Arous - Bizerte - Gabès - Gafsa - Jendouba,,30.11.2024,https://www.emploitunisie.com/offre-emploi-tunisie/docteur-data-science-informatique-ariana-197640
Formation en Data Engineer (F/H) - Paris,KAISCHOOL,,"Bac+3, Bac+4 & Bac+5 et plus","Etudiant, jeune diplômé et plus",Alternance,International,APACHE - BIG DATA - Comptabilité - Finance - Gestion - HADOOP - JAVA - PYTHON - SPARK - SQL,30.11.2024,https://www.emploitunisie.com/offre-emploi-tunisie/formation-data-engineer-fh-paris-208392
Consultant Fonctionnel Sage XRT ou Sage FRP 1000 Trésorerie - El Menzeh 4,DELTASOFT INTERNATIONAL,,Bac+5 et plus,Expérience entre 2 ans et 5 ans,CDI - Statutaire,Ariana - Béja - Ben Arous - Bizerte - Gabès - Gafsa - Jendouba,Comptabilité - Finance - Gestion - SAGE - TMS - Trésorerie - XRT,30.11.2024,https://www.emploitunisie.com/offre-emploi-tunisie/consultant-fonctionnel-sage-xrt-sage-frp-1000-tresorerie-el-menzeh-4-208907
Chargé(e) de Partenariats et Relations Presse - Ariana,SMART CONSEIL,,"Qualification avant bac, Bac, Bac+1, Bac+2, Bac+3, Bac+4 & Bac+5 et plus","Etudiant, jeune diplômé et plus","CDI, CDD, Intérim, Stage & Temps partiel",International,Communication - Communication Externe - Rédaction,30.11.2024,https://www.emploitunisie.com/offre-emploi-tunisie/chargee-partenariats-relations-presse-ariana-210189
Technico-commercial - Tunis,SEMO ART ET DECO,,"Bac+2, Bac+3, Bac+4 & Bac+5 et plus",Expérience entre 2 ans et 5 ans et plus,CDD,Ariana - Manouba & Tunis,3DS MAX - Architecture d'Intérieur - Devis - Vente,30.11.2024,https://www.emploitunisie.com/offre-emploi-tunisie/technico-commercial-tunis-217602
Coordinateur(trice) Pédagogique et Administrative - Tunis,ECOLE CONTE,,Bac+4 & Bac+5 et plus,Débutant < 2 ans & Expérience entre 2 ans et 5 ans,CDI,Tunis,Accompagnement - Administration - Assistanat - Dossiers - Dossiers Administratifs - Gestion Administrative - POWERPOINT - Secrétariat - Support - WORD,30.11.2024,https://www.emploitunisie.com/offre-emploi-tunisie/coordinateurtrice-pedagogique-administrative-tunis-220169
Spécialiste Contrôle Qualité - Raoued,MACOPHARMA,,Bac+4 & Bac+5 et plus,Débutant < 2 ans et plus,CDD,Ariana,Assurance Qualité - Chimie - GMP - Maintenance - Microbiologie - Non-Conformité - Processus - Production - Qualité,30.11.2024,https://www.emploitunisie.com/offre-emploi-tunisie/specialiste-controle-qualite-raoued-220424
Web Développer - Monastir,TAHRI COMPAGNE,,Bac+5 et plus,Expérience entre 2 ans et 5 ans et plus,CDI,Monastir,Communication - CSS - Design - HTML - JAVASCRIPT - Marketing - SEO,30.11.2024,https://www.emploitunisie.com/offre-emploi-tunisie/web-developper-monastir-221704
