Job Title,Company Name,Study Level,Experience Level,Contract Type,Region,Skills,Posting Date,Job Link,Disponibilité,Langues,Salary,Mobility
Marketing Manager,Durham LLC,Primaire,"Etudiant, jeune diplômé",Temps partiel,Médenine,"Python, Communication",2024-01-03,https://fakejobsite.com/job/1,In 3 months,English,1221,On-site
Teacher,Mccoy Ltd,Bac+5,"Etudiant, jeune diplômé",SIVP,Tunis,"Project Management, Java, SQL, Python",2024-12-13,https://fakejobsite.com/job/2,In 1 month,"French, English, Arabic",955,Hybrid
Project Manager,Thomas-Howard,et plus,Entre 1 et 2 ans,Statutaire,Sidi Bouzid,"SQL, Python",2025-02-22,https://fakejobsite.com/job/3,Immediate,"French, English, Arabic",587,On-site
Marketing Manager,Bradley-Charles,Formations professionnelles,Expérience entre 2 ans et 5 ans et plus,Stage,Nabeul,"Java, Leadership",2024-04-20,https://fakejobsite.com/job/4,In 3 months,"English, French",1284,Hybrid
Nurse,Murphy-Jordan,Expert Recherche,"Etudiant, jeune diplômé et plus",Saisonnier,Le Kef,"Python, Machine Learning, Java",2024-09-08,https://fakejobsite.com/job/5,In 3 months,"French, Arabic",1717,Remote
Project Manager,Durham LLC,Doctorat,Expérience entre 2 ans et 5 ans,Temps partiel,TRIPOLI,"Project Management, Leadership, Machine Learning, Data Analysis, Python",2024-02-22,https://fakejobsite.com/job/6,In 3 months,Arabic,1823,On-site
Project Manager,Thomas-Howard,Primaire,Débutant < 2 ans,Statutaire,Kairouan,"SQL, Data Analysis, Leadership",2025-05-03,https://fakejobsite.com/job/7,In 3 months,"Arabic, English",600,On-site
Marketing Manager,Durham LLC,Bac+3,Expérience > 10 ans,Indépendant-Freelance,Médenine,"Project Management, SQL, Data Analysis",2025-09-10,https://fakejobsite.com/job/8,In 3 months,"French, English, Arabic",1522,Remote
Accountant,Thomas-Howard,Bac+1,Expérience entre 5 ans et 10 ans,Saisonnier,Monastir,"Java, Project Management",2024-07-02,https://fakejobsite.com/job/9,In 3 months,Arabic,1551,Hybrid
Nurse,"Palmer, Howard and Cook",Doctorat,"Etudiant, jeune diplômé - Débutant < 2 ans",CDD,Sousse,"Communication, SQL",2025-02-12,https://fakejobsite.com/job/10,In 1 month,"French, Arabic, English",981,Remote
Marketing Manager,Bradley-Charles,Bac+5,Entre 5 et 10 ans,CDI,Gafsa,"Machine Learning, SQL, Python, Project Management",2024-08-22,https://fakejobsite.com/job/11,In 1 month,Arabic,1189,Remote
Nurse,"Craig, Morrow and Edwards",Bac,Expérience entre 2 ans et 5 ans,Stage-PFE,Sousse,"SQL, Python",2026-07-31,https://fakejobsite.com/job/12,In 1 month,"English, French, Arabic",1591,Hybrid
Nurse,Reed-Villarreal,Qualification avant bac,"Etudiant, jeune diplômé - Débutant < 2 ans",Stage-PFE,International,"Communication, Machine Learning, Java, Python",2025-03-26,https://fakejobsite.com/job/13,In 1 month,Arabic,1456,Remote
Project Manager,"Craig, Morrow and Edwards",Primaire,Expérience entre 5 ans et 10 ans & Expérience > 10 ans,Intérim,Le Kef,"Project Management, SQL",2025-01-06,https://fakejobsite.com/job/14,Immediate,"Arabic, English, French",995,On-site
Teacher,Carroll-Davis,Primaire,"Etudiant, jeune diplômé",Intérim,Gafsa,"Java, SQL, Leadership, Python",2025-05-25,https://fakejobsite.com/job/15,In 1 month,"Arabic, French",1289,On-site
Nurse,Watson LLC,et plus,Expérience entre 2 ans et 5 ans et plus,CDD,Siliana,"Machine Learning, Project Management, Communication, Data Analysis, Java",2024-11-27,https://fakejobsite.com/job/16,In 3 months,French,621,On-site
Data Scientist,Watson LLC,Bac+1,Expérience entre 5 ans et 10 ans,Stage,Sousse,"Communication, Java, Leadership, Data Analysis",2026-05-27,https://fakejobsite.com/job/17,In 1 month,Arabic,1897,Remote
Project Manager,"Giles, Nelson and Davis",Bac+2,Expérience entre 5 ans et 10 ans & Expérience > 10 ans,Intérim,TRIPOLI,"Data Analysis, Machine Learning",2026-01-10,https://fakejobsite.com/job/18,In 1 month,"French, Arabic",899,On-site
