Job Title,Company Name,Study Level,Experience Level,Contract Type,Region,Skills,Posting Date,Job Link,Disponibilité,Langues,Salary,Mobility
Marketing Manager,Livingston-Weaver,Bac+3,Entre 1 et 2 ans,Fonction publique,Médenine,"Python, Communication",2024-01-04,https://fakejobsite.com/job/1,In 1 month,English,1070,Hybrid
Teacher,Martin-Martinez,Autres,Plus que 10 ans,CDI,TRIPOLI,"Project Management, Java, SQL, Python",2026-08-27,https://fakejobsite.com/job/2,Immediate,"French, English, Arabic",635,On-site
Data Scientist,Martin PLC,Bac+5,Expérience entre 2 ans et 5 ans,Unspecified,Sousse,"SQL, Python",2024-02-08,https://fakejobsite.com/job/3,In 1 month,"French, English, Arabic",1805,Remote
Nurse,Wheeler Inc,Bac+4,Expérience entre 5 ans et 10 ans & Expérience > 10 ans,Stage-PFE,Ben Arous,"Java, Leadership",2024-02-07,https://fakejobsite.com/job/4,In 1 month,"English, French",1197,Remote
Marketing Manager,Tyler PLC,Bac+2,"Etudiant, jeune diplômé et plus",Saisonnier,Gafsa,"Python, Machine Learning, Java",2026-08-06,https://fakejobsite.com/job/5,Immediate,"French, Arabic",842,Hybrid
Project Manager,"Conner, Herrera and Hanson",Bac+2,Entre 1 et 2 ans,Indépendant-Freelance,Tunis,"Project Management, Leadership, Machine Learning, Data Analysis, Python",2024-04-11,https://fakejobsite.com/job/6,In 1 month,Arabic,1006,Hybrid
Software Engineer,"Meyer, Washington and Jones",Bac,Débutant < 2 ans & Expérience entre 2 ans et 5 ans,Intérim,Gafsa,"SQL, Data Analysis, Leadership",2025-02-02,https://fakejobsite.com/job/7,Immediate,"Arabic, English",1382,Hybrid
Marketing Manager,Adkins-Aguirre,Qualification avant bac,Aucune expérience,Stage,Sfax,"Project Management, SQL, Data Analysis",2025-01-27,https://fakejobsite.com/job/8,In 1 month,"French, English, Arabic",488,Remote
Project Manager,Marshall-Atkins,Bac+4,Entre 2 et 5 ans,Temps partiel,Tataouine,"Java, Project Management",2025-06-18,https://fakejobsite.com/job/9,Immediate,Arabic,1166,Remote
Data Scientist,Proctor-Ross,Bac+5,Expérience entre 2 ans et 5 ans et plus,Temps partiel,Gabes,"Communication, SQL",2025-09-22,https://fakejobsite.com/job/10,In 3 months,"French, Arabic, English",1369,Hybrid
Data Scientist,Martin LLC,Bac,"Etudiant, jeune diplômé - Débutant < 2 ans",CDD,DAKAR,"Machine Learning, SQL, Python, Project Management",2025-10-29,https://fakejobsite.com/job/11,In 1 month,Arabic,1285,On-site
Software Engineer,Hester-Clay,Autres,Débutant < 2 ans et plus,CDI,Nabeul,"SQL, Python",2026-02-01,https://fakejobsite.com/job/12,Immediate,"English, French, Arabic",1026,Hybrid
Accountant,Hines-Dennis,Bac+5,"Etudiant, jeune diplômé et plus",CDI,Tunis,"Communication, Machine Learning, Java, Python",2024-05-12,https://fakejobsite.com/job/13,In 1 month,Arabic,1830,Hybrid
Software Engineer,Ward-Perry,Bac+3,Entre 2 et 5 ans,Temps partiel,Siliana,"Project Management, SQL",2024-10-19,https://fakejobsite.com/job/14,In 1 month,"Arabic, English, French",1005,Hybrid
Teacher,Lowery PLC,Bac+2,Moins d'un an,Temps partiel,Ben Arous,"Java, SQL, Leadership, Python",2024-12-29,https://fakejobsite.com/job/15,In 1 month,"Arabic, French",1087,Hybrid
Marketing Manager,Brooks LLC,Bac+2,Débutant < 2 ans & Expérience entre 2 ans et 5 ans,Saisonnier,DAKAR,"Machine Learning, Project Management, Communication, Data Analysis, Java",2025-01-11,https://fakejobsite.com/job/16,Immediate,French,1222,Remote
Nurse,Diaz and Sons,Bac+3,Aucune expérience,Stage-PFE,Tozeur,"Communication, Java, Leadership, Data Analysis",2024-02-29,https://fakejobsite.com/job/17,In 3 months,Arabic,1001,On-site
Accountant,Martin-Stevens,Bac+3,Expérience entre 2 ans et 5 ans et plus,SIVP,Tunis,"Data Analysis, Machine Learning",2025-08-23,https://fakejobsite.com/job/18,In 3 months,"French, Arabic",1577,Hybrid
Software Engineer,Ayers-Mckinney,Bac+3,"Etudiant, jeune diplômé",Statutaire,Bizerte,"Data Analysis, Project Management, SQL",2025-06-28,https://fakejobsite.com/job/19,In 3 months,Arabic,1002,On-site
Project Manager,Houston-Shah,Bac+3,"Etudiant, jeune diplômé & Débutant < 2 ans",Stage,Le Kef,"Project Management, Communication, Data Analysis, Python",2024-12-30,https://fakejobsite.com/job/20,Immediate,"French, English, Arabic",1047,On-site
Accountant,Jackson PLC,Bac+4,Expérience entre 5 ans et 10 ans & Expérience > 10 ans,Statutaire,Nabeul,"Python, SQL, Data Analysis",2024-04-13,https://fakejobsite.com/job/21,In 3 months,"Arabic, French",1052,On-site
Marketing Manager,Thomas Ltd,Bac+2,Expérience > 10 ans,Saisonnier,Ben Arous,"Machine Learning, Python, Java, Leadership, Data Analysis",2024-07-23,https://fakejobsite.com/job/22,Immediate,"French, Arabic",1546,Hybrid
Accountant,Cummings-Martinez,Bac+3,Expérience entre 5 ans et 10 ans,Intérim,Gafsa,"Leadership, Project Management, Communication",2024-03-26,https://fakejobsite.com/job/23,In 1 month,"Arabic, English, French",2375,Remote
Marketing Manager,"Obrien, Fisher and Smith",Bac+3,Expérience entre 2 ans et 5 ans & Expérience entre 5 ans et 10 ans,Fonction publique,Le Kef,"Data Analysis, Leadership, Java, Communication, SQL",2026-08-23,https://fakejobsite.com/job/24,In 1 month,"French, Arabic",1112,Hybrid
