Title,Company,Location,Job Type,Job Link,Référence,Publiée le,Type de poste,Lieu de travail,Expérience,Étude,Disponibilité,Langues,Salary,Mobility
Conseillers Client,TELEPERFORMANCE,Tunis,CDI,https://www.keejob.com/offres-emploi/211206/conseillers-client/,211206,29 novembre 2024,CDI,"Centre ville, Tunis, Tunisie",Aucune expérience,Secondaire,Plein temps,Français,,
Chargé(e) de Service Clientèle - Sousse,BANK ABC,Tunis,Unspecified,https://www.keejob.com/offres-emploi/210308/charg%C3%A9e-de-service-client%C3%A8le-sousse/,210308,29 novembre 2024,,"Tunis, Tunisie",Moins d'un an,Bac + 3,Plein temps,,,
Développeur Java Medior,BINITNS,Tunis,CDI,https://www.keejob.com/offres-emploi/211371/d%C3%A9veloppeur-java-medior/,211371,29 novembre 2024,CDI,"Tunis, Tunisie",Entre 2 et 5 ans,Bac + 5,Plein temps,Français,,
Acheteuse,PLASTIC ELECTROMECHANIC COMPANY PEC,Zaghouan,"CDI, ,, CDD",https://www.keejob.com/offres-emploi/211433/acheteuse/,211433,29 novembre 2024,"CDI, ,, CDD","Bir Mcherga, Zaghouan, Tunisie",Entre 2 et 5 ans,Bac + 3,Plein temps,"Français , Anglais",,International
Ingénieur Qualité Client,ASTEELFLASH,Ariana,Unspecified,https://www.keejob.com/offres-emploi/212102/ing%C3%A9nieur-qualit%C3%A9-client/,212102,29 novembre 2024,,"Ariana, Tunisie",Entre 2 et 5 ans,Bac + 5,Plein temps,"Français , Anglais",1 - 0 DT / Mois,
Gestionnaire de Paie (H/F),ARTUS,Monastir,"CDI, ,, CDD",https://www.keejob.com/offres-emploi/212099/gestionnaire-de-paie-hf/,212099,29 novembre 2024,"CDI, ,, CDD","Monastir, Tunisie",Entre 2 et 5 ans,Bac + 5,Plein temps,"Français , Anglais",1400 - DT / Mois,
Architecte d'intérieur,,Monastir,Unspecified,https://www.keejob.com/offres-emploi/212037/architecte-dint%C3%A9rieur-technico-commercial/,212037,29 novembre 2024,,"Ksar Helal, Monastir, Tunisie",Entre 1 et 2 ans,Bac + 5,Plein temps,,600 - 1000 DT / Mois,Locale
Customer Service Support,OUTSOURCIA,Ariana,"CDI, ,, SIVP",https://www.keejob.com/offres-emploi/211714/customer-service-support/,211714,29 novembre 2024,"CDI, ,, SIVP","Ariana Ville, Ariana, Tunisie",Entre 1 et 2 ans,Bac + 2,Plein temps,"Français , Anglais",1000 - 1500 DT / Mois,
assistant responsable magasin STRASS SFAX,,Sfax,"CDD, ,, SIVP",https://www.keejob.com/offres-emploi/211166/assistant-responsable-magasin-strass-sfax/,211166,29 novembre 2024,"CDD, ,, SIVP","Sakiet Ezzit, Sfax, Tunisie",Entre 1 et 2 ans,Bac + 3,Plein temps,"Arabe , Français , Anglais",,
Chargée RH,ASTEELFLASH,Ariana,CDI,https://www.keejob.com/offres-emploi/211745/charg%C3%A9e-rh/,211745,29 novembre 2024,CDI,"Ariana, Tunisie",Entre 2 et 5 ans,Bac + 3,Plein temps,"Arabe , Français , Anglais",,
Magasinier Pièces de Rechange Automobile,,Ariana,"CDD, ,, SIVP",https://www.keejob.com/offres-emploi/210626/magasinier-pi%C3%A8ces-de-rechange-automobile/,210626,29 novembre 2024,"CDD, ,, SIVP","Mnihla, Ariana, Tunisie",Entre 2 et 5 ans,Formations professionnelles,Plein temps,"Arabe , Français , Anglais",600 - 1000 DT / Mois,
Chasseur / Chasseuse de tête (Sousse),VEO WORLDWIDE SERVICES,Sousse,Unspecified,https://www.keejob.com/offres-emploi/211205/charg%C3%A9e-de-sourcing-sousse/,211205,29 novembre 2024,,"Sousse, Tunisie",Entre 1 et 2 ans,Bac + 3,Plein temps,Français,,International
Technicien supérieur mécanique H/F,Manpower,Bizerte,CDD,https://www.keejob.com/offres-emploi/212103/technicien-sup%C3%A9rieur-m%C3%A9canique-hf/,212103,29 novembre 2024,CDD,"Menzel Bourguiba, Bizerte, Tunisie",Entre 1 et 2 ans,Formations professionnelles,Plein temps,Français,700 - DT / Mois,
Juriste en droit privé,POULINA GROUP HOLDING,Ben Arous,"CDD, ,, SIVP",https://www.keejob.com/offres-emploi/210615/juriste-en-droit-priv%C3%A9/,210615,29 novembre 2024,"CDD, ,, SIVP","Ezzahra, Ben Arous, Tunisie",Aucune expérience,Bac + 5,Plein temps,"Arabe , Français , Anglais",,Locale
Ingénieur Maintenance PEC MED,PLASTIC ELECTROMECHANIC COMPANY PEC,Zaghouan,CDD,https://www.keejob.com/offres-emploi/211434/ing%C3%A9nieur-maintenance-pec-med/,211434,29 novembre 2024,CDD,"Hammam Zriba, Zaghouan, Tunisie",Entre 1 et 2 ans,Bac + 5,Plein temps,"Français , Anglais",,
Agent Technique / Unité des Graisses (H/F),HR HOUSE INTERNATIONAL,Bizerte,CDI,https://www.keejob.com/offres-emploi/210587/un-agent-technique-unit%C3%A9-des-graisses-hf/,210587,29 novembre 2024,CDI,"Bizerte, Tunisie",Entre 1 et 2 ans,Formations professionnelles,Plein temps,,,
Chargé (e) administration du personnel,OUTSOURCIA,Ariana,"CDI, ,, SIVP",https://www.keejob.com/offres-emploi/212087/charg%C3%A9-e-administration-du-personnel/,212087,29 novembre 2024,"CDI, ,, SIVP","Ariana Ville, Ariana, Tunisie",Entre 1 et 2 ans,Bac + 2,Plein temps,"Arabe , Français , Anglais",,
